year,ronda,nombre_carrera,nombre_circuito,fecha_carrera,hora_carrera,fecha_carrera_sprint,url_foto
2020,4,British Grand Prix,Silverstone Circuit,2020-08-02,13:10:00Z,NA,backend/fotos_circuitos/british_2020.jpg
2020,5,70th Anniversary Grand Prix,Silverstone Circuit,2020-08-09,13:10:00Z,NA,backend/fotos_circuitos/70_anniversary_2020.jpg
2020,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020-08-16,13:10:00Z,NA,backend/fotos_circuitos/spanish_2020.jpg
2020,7,Belgian Grand Prix,Circuit de Spa-Francorchamps,2020-08-30,13:10:00Z,NA,backend/fotos_circuitos/belgian_2020.jpg
2020,8,Italian Grand Prix,Autodromo Nazionale di Monza,2020-09-06,13:10:00Z,NA,backend/fotos_circuitos/italian_2020.jpg
2020,9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020-09-13,13:10:00Z,NA,backend/fotos_circuitos/tuscan_2020.jpg
2020,10,Russian Grand Prix,Sochi Autodrom,2020-09-27,11:10:00Z,NA,backend/fotos_circuitos/russian_2020.jpg
2020,11,Eifel Grand Prix,Nürburgring,2020-10-11,13:10:00Z,NA,backend/fotos_circuitos/eifel_2020.jpg
2020,12,Portuguese Grand Prix,Autódromo Internacional do Algarve,2020-10-25,12:10:00Z,NA,backend/fotos_circuitos/portuguese_2020.jpg
2020,13,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2020-11-01,12:10:00Z,NA,backend/fotos_circuitos/emilia_2020.jpg
2020,14,Turkish Grand Prix,Istanbul Park,2020-11-15,10:10:00Z,NA,backend/fotos_circuitos/turkish_2020.jpg
2020,15,Bahrain Grand Prix,Bahrain International Circuit,2020-11-29,14:10:00Z,NA,backend/fotos_circuitos/bahrain_2020.jpg
2020,16,Sakhir Grand Prix,Bahrain International Circuit,2020-12-06,17:10:00Z,NA,backend/fotos_circuitos/sakhir_2020.jpg
2020,17,Abu Dhabi Grand Prix,Yas Marina Circuit,2020-12-13,13:10:00Z,NA,backend/fotos_circuitos/abu_dhabi_2020.jpg
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,15:00:00Z,NA,backend/fotos_circuitos/bahrain_2021.jpg
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,13:00:00Z,NA,backend/fotos_circuitos/emilia_2021.jpg
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,2021-05-02,14:00:00Z,NA,backend/fotos_circuitos/portuguese_2021.jpg
2021,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021-05-09,13:00:00Z,NA,backend/fotos_circuitos/spanish_2021.jpg
2021,5,Monaco Grand Prix,Circuit de Monaco,2021-05-23,13:00:00Z,NA,backend/fotos_circuitos/monaco_2021.jpg
2021,6,Azerbaijan Grand Prix,Baku City Circuit,2021-06-06,12:00:00Z,NA,backend/fotos_circuitos/azerbaijan_2021.jpg
2021,7,French Grand Prix,Circuit Paul Ricard,2021-06-20,13:00:00Z,NA,backend/fotos_circuitos/french_2021.jpg
2021,8,Styrian Grand Prix,Red Bull Ring,2021-06-27,13:00:00Z,NA,backend/fotos_circuitos/styrian_2021.jpg
2021,9,Austrian Grand Prix,Red Bull Ring,2021-07-04,13:00:00Z,NA,backend/fotos_circuitos/austrian_2021.jpg
