year,piloto_id,nombre,abreviacion,pais,url_foto
2021,kubica,Robert Kubica,KUB,Polish,backend/fotos_pilotos/robert_kubica_2021.jpg
2021,latifi,Nicholas Latifi,LAT,Canadian,backend/fotos_pilotos/nicholas_latifi_2021.jpg
2021,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2021.jpg
2021,mazepin,Nikita Mazepin,MAZ,Russian,backend/fotos_pilotos/nikita_mazepin_2021.jpg
2021,norris,Lando Norris,NOR,British,backend/fotos_pilotos/lando_norris_2021.jpg
2021,ocon,Esteban Ocon,OCO,French,backend/fotos_pilotos/esteban_ocon_2021.jpg
2021,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2021.jpg
2021,raikkonen,Kimi Räikkönen,RAI,Finnish,backend/fotos_pilotos/kimi_raikkonen_2021.jpg
2021,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2021.jpg
2021,russell,George Russell,RUS,British,backend/fotos_pilotos/george_russell_2021.jpg
2021,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2021.jpg
2021,mick_schumacher,Mick Schumacher,MSC,German,backend/fotos_pilotos/mick_schumacher_2021.jpg
2021,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2021.jpg
2021,tsunoda,Yuki Tsunoda,TSU,Japanese,backend/fotos_pilotos/yuki_tsunoda_2021.jpg
2021,max_verstappen,Max Verstappen,VER,Dutch,backend/fotos_pilotos/max_verstappen_2021.jpg
2021,vettel,Sebastian Vettel,VET,German,backend/fotos_pilotos/sebastian_vettel_2021.jpg
2022,albon,Alexander Albon,ALB,Thai,backend/fotos_pilotos/alexander_albon_2022.jpg
2022,alonso,Fernando Alonso,ALO,Spanish,backend/fotos_pilotos/fernando_alonso_2022.jpg
2022,bottas,Valtteri Bottas,BOT,Finnish,backend/fotos_pilotos/valtteri_bottas_2022.jpg
2022,de_vries,Nyck de Vries,DEV,Dutch,backend/fotos_pilotos/nyck_de_vries_2022.jpg
2022,gasly,Pierre Gasly,GAS,French,backend/fotos_pilotos/pierre_gasly_2022.jpg
2022,hamilton,Lewis Hamilton,HAM,British,backend/fotos_pilotos/lewis_hamilton_2022.jpg
2022,hulkenberg,Nico Hülkenberg,HUL,German,backend/fotos_pilotos/nico_hulkenberg_2022.jpg
2022,latifi,Nicholas Latifi,LAT,Canadian,backend/fotos_pilotos/nicholas_latifi_2022.jpg
